Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
22			T22		205		2508		40		2548
43			T43		243		2708		83		2791
50			T50		259		2951		99		3050
38			T38		279		3256		73		3329
48			T48		286		3522		93		3615
2			T2		298		3911		2		3913
10			T10		318		4217		14		4231
4			T4		326		4553		4		4557
20			T20		347		4868		36		4904
39			T39		348		5175		77		5252
37			T37		349		5529		72		5601
36			T36		358		5897		62		5959
18			T18		361		6292		28		6320
40			T40		361		6603		78		6681
33			T33		370		6993		58		7051
42			T42		371		7342		80		7422
21			T21		387		7770		39		7809
49			T49		399		8112		96		8208
44			T44		422		8546		84		8630
16			T16		427		9031		26		9057
5			T5		428		9478		7		9485
6			T6		431		9908		8		9916
14			T14		436		10329		23		10352
29			T29		446		10747		51		10798
17			T17		446		11217		27		11244
47			T47		469		11621		92		11713
24			T24		543		12213		43		12256
45			T45		543		12712		87		12799
7			T7		543		13332		10		13342
25			T25		546		13841		47		13888
35			T35		549		14376		61		14437
Average turnaround time for SJF= 25812.9
Total CPU time for SJF= 14436

