Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
13			T13		207		2459			24			2483
44			T44		213		2612			84			2696
19			T19		222		2879			39			2918
27			T27		227		3095			50			3145
45			T45		228		3288			85			3373
10			T10		236		3588			21			3609
38			T38		245		3781			73			3854
48			T48		248		4012			90			4102
35			T35		256		4292			66			4358
30			T30		259		4561			56			4617
31			T31		288		4847			58			4905
8			T8		304		5191			18			5209
17			T17		308		5484			33			5517
24			T24		311		5783			45			5828
14			T14		371		6172			27			6199
4			T4		397		6585			11			6596
36			T36		399		6927			68			6995
23			T23		409		7360			44			7404
6			T6		409		7800			13			7813
3			T3		416		8223			6			8229
28			T28		432		8608			53			8661
20			T20		434		9055			40			9095
7			T7		458		9538			15			9553
50			T50		487		9946			94			10040
2			T2		500		10535			5			10540
34			T34		523		11000			63			11063
46			T46		523		11499			87			11586
42			T42		524		12029			81			12110
33			T33		528		12576			62			12638
43			T43		531		13087			82			13169
18			T18		545		13676			38			13714
41			T41		546		14181			79			14260
Average turnaround time for SJF= 25453.5
Total CPU time for SJF= 14259

