Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
50		T50		197		2461		98		2559
25		T25		208		2724		43		2767
6		T6		215		2972		10		2982
37		T37		234		3139		77		3216
27		T27		248		3413		51		3464
33		T33		254		3653		65		3718
18		T18		258		3946		30		3976
29		T29		260		4178		58		4236
12		T12		261		4477		20		4497
38		T38		269		4688		78		4766
40		T40		273		4956		83		5039
7		T7		306		5332		13		5345
3		T3		315		5653		7		5660
17		T17		337		5968		29		5997
47		T47		351		6255		93		6348
31		T31		352		6640		60		6700
13		T13		360		7038		22		7060
15		T15		362		7397		25		7422
2		T2		368		7786		4		7790
48		T48		368		8064		94		8158
16		T16		380		8510		28		8538
20		T20		405		8910		33		8943
46		T46		449		9300		92		9392
9		T9		467		9844		15		9859
34		T34		480		10266		73		10339
36		T36		485		10748		76		10824
41		T41		509		11248		85		11333
45		T45		518		11760		91		11851
43		T43		525		12289		87		12376
19		T19		535		12879		32		12911
21		T21		549		13423		37		13460
Average turnaround time for SJF= 24002.6
Total CPU time for SJF= 13457

