Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
8	T8	224	2807	18	2825
38	T38	232	2977	80	3057
4	T4	236	3281	12	3293
20	T20	238	3484	47	3531
40	T40	242	3691	82	3773
29	T29	269	3978	64	4042
35	T35	275	4241	76	4317
9	T9	290	4588	19	4607
13	T13	291	4868	30	4898
48	T48	301	5103	96	5199
30	T30	318	5452	65	5517
2	T2	336	5846	7	5853
7	T7	343	6179	17	6196
26	T26	350	6485	61	6546
41	T41	365	6827	84	6911
18	T18	388	7256	43	7299
5	T5	390	7676	13	7689
21	T21	398	8039	48	8087
46	T46	411	8407	91	8498
14	T14	423	8889	32	8921
44	T44	427	9259	89	9348
12	T12	432	9751	29	9780
23	T23	443	10169	54	10223
27	T27	453	10614	62	10676
42	T42	466	11057	85	11142
10	T10	491	11612	21	11633
22	T22	497	12077	53	12130
39	T39	499	12548	81	12629
15	T15	500	13096	33	13129
50	T50	506	13537	98	13635
31	T31	530	14096	69	14165
Average turnaround time for SJF= 25952.7
Total CPU time for SJF= 14163

