Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
1	T1	167	167	3	170
2	T2	424	590	4	594
3	T3	394	982	6	988
4	T4	169	1149	8	1157
5	T5	162	1308	11	1319
6	T6	419	1724	14	1738
7	T7	307	2030	15	2045
8	T8	256	2285	16	2301
9	T9	141	2425	17	2442
10	T10	377	2800	19	2819
11	T11	319	3118	20	3138
12	T12	484	3600	22	3622
13	T13	530	4129	23	4152
14	T14	363	4481	34	4515
15	T15	470	4950	35	4985
16	T16	226	5175	36	5211
17	T17	161	5335	37	5372
18	T18	326	5657	41	5698
19	T19	155	5811	42	5853
20	T20	306	6115	44	6159
21	T21	507	6620	46	6666
22	T22	448	7067	47	7114
23	T23	489	7554	49	7603
24	T24	254	7807	50	7857
25	T25	531	8337	51	8388
26	T26	406	8740	54	8794
27	T27	142	8877	59	8936
28	T28	80	8956	60	9016
29	T29	134	9087	63	9150
30	T30	436	9522	64	9586
31	T31	261	9781	66	9847
32	T32	236	10014	69	10083
33	T33	415	10428	70	10498
34	T34	195	10619	74	10693
35	T35	523	11141	75	11216
36	T36	59	11199	76	11275
37	T37	187	11385	77	11462
38	T38	179	11563	78	11641
39	T39	526	12087	80	12167
40	T40	118	12203	82	12285
41	T41	292	12493	84	12577
42	T42	140	12632	85	12717
43	T43	436	13067	86	13153
44	T44	157	13223	87	13310
45	T45	264	13484	90	13574
46	T46	537	14020	91	14111
47	T47	111	14127	95	14222
48	T48	435	14561	96	14657
49	T49	335	14895	97	14992
50	T50	179	15073	98	15171
Average turnaround time for FCFS= 39439.3
Total CPU time for FCFS= 15168

Method:RR
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
36	T36	59	3132	76	3208
28	T28	80	4126	60	4186
40	T40	118	5825	82	5907
47	T47	111	5882	95	5977
9	T9	141	6518	17	6535
27	T27	142	6708	59	6767
42	T42	140	6823	85	6908
5	T5	162	7216	11	7227
1	T1	167	7339	3	7342
17	T17	161	7519	37	7556
19	T19	155	7519	42	7561
4	T4	169	7589	8	7597
29	T29	134	7575	63	7638
44	T44	157	7685	87	7772
38	T38	179	8442	78	8520
50	T50	179	8510	98	8608
