Method:FCFS
TaskNumber		TaskName	CPU_Time	Turnaround_Time		Start_Tick		End_Tick
1			T1		422		422			1			423
2			T2		415		835			3			838
3			T3		170		1004			4			1008
4			T4		431		1430			9			1439
5			T5		349		1778			10			1788
6			T6		110		1886			12			1898
7			T7		397		2278			17			2295
8			T8		286		2563			18			2581
9			T9		223		2785			19			2804
10			T10		430		3214			20			3234
11			T11		348		3561			21			3582
12			T12		549		4109			22			4131
13			T13		405		4513			23			4536
14			T14		230		4739			27			4766
15			T15		450		5187			29			5216
16			T16		456		5642			30			5672
17			T17		257		5898			31			5929
18			T18		443		6340			32			6372
19			T19		229		6567			34			6601
20			T20		511		7077			35			7112
21			T21		239		7312			39			7351
22			T22		305		7616			40			7656
23			T23		511		8125			42			8167
24			T24		312		8436			43			8479
25			T25		483		8918			44			8962
26			T26		472		9389			45			9434
27			T27		99		9487			46			9533
28			T28		539		10024			48			10072
29			T29		430		10453			49			10502
30			T30		462		10914			50			10964
31			T31		73		10986			51			11037
32			T32		527		11512			52			11564
33			T33		444		11954			54			12008
34			T34		504		12457			55			12512
35			T35		157		12612			57			12669
36			T36		115		12725			59			12784
37			T37		148		12871			61			12932
38			T38		259		13129			62			13191
39			T39		164		13292			63			13355
40			T40		497		13788			64			13852
41			T41		514		14300			66			14366
42			T42		246		14545			67			14612
43			T43		461		15004			69			15073
44			T44		253		15256			70			15326
45			T45		348		15603			71			15674
46			T46		448		16049			73			16122
47			T47		339		16387			74			16461
48			T48		537		16923			75			16998
49			T49		532		17450			80			17530
50			T50		183		17632			81			17713
51			T51		249		17879			83			17962
52			T52		186		18063			85			18148
53			T53		465		18526			87			18613
54			T54		312		18837			88			18925
55			T55		428		19264			89			19353
56			T56		513		19776			90			19866
57			T57		177		19951			92			20043
58			T58		81		20030			94			20124
59			T59		486		20515			95			20610
60			T60		59		20573			96			20669
61			T61		277		20849			97			20946
62			T62		237		21085			98			21183
63			T63		409		21493			99			21592
64			T64		337		21825			104			21929
65			T65		345		22168			106			22274
66			T66		467		22634			107			22741
67			T67		537		23169			109			23278
68			T68		97		23264			111			23375
69			T69		510		23773			112			23885
70			T70		195		23967			113			24080
71			T71		66		24031			115			24146
72			T72		322		24352			116			24468
73			T73		350		24700			118			24818
74			T74		295		24994			119			25113
75			T75		414		25407			120			25527
76			T76		80		25486			121			25607
77			T77		498		25982			123			26105
78			T78		360		26341			124			26465
79			T79		215		26555			125			26680
80			T80		209		26763			126			26889
81			T81		191		26953			127			27080
82			T82		333		27284			129			27413
83			T83		79		27361			131			27492
84			T84		401		27760			133			27893
85			T85		384		28143			134			28277
86			T86		254		28395			136			28531
87			T87		115		28508			138			28646
88			T88		108		28615			139			28754
89			T89		537		29146			145			29291
90			T90		112		29257			146			29403
91			T91		155		29409			149			29558
92			T92		541		29948			151			30099
93			T93		384		30331			152			30483
94			T94		56		30386			153			30539
95			T95		297		30682			154			30836
96			T96		247		30928			155			31083
97			T97		74		30999			158			31157
98			T98		345		31341			161			31502
99			T99		188		31527			163			31690
100			T100		446		31971			165			32136
101			T101		187		32156			167			32323
102			T102		358		32513			168			32681
103			T103		223		32735			169			32904
104			T104		338		33072			170			33242
105			T105		472		33543			171			33714
106			T106		425		33965			174			34139
107			T107		66		34030			175			34205
108			T108		125		34154			176			34330
109			T109		138		34290			178			34468
110			T110		434		34721			181			34902
111			T111		328		35048			182			35230
112			T112		146		35193			183			35376
113			T113		398		35589			185			35774
114			T114		335		35923			186			36109
115			T115		121		36043			187			36230
116			T116		443		36483			190			36673
117			T117		444		36926			191			37117
118			T118		389		37311			195			37506
119			T119		100		37410			196			37606
120			T120		500		37906			200			38106
121			T121		347		38251			202			38453
122			T122		162		38412			203			38615
123			T123		345		38756			204			38960
124			T124		151		38905			206			39111
125			T125		344		39245			210			39455
126			T126		521		39765			211			39976
127			T127		540		40304			212			40516
128			T128		163		40464			215			40679
129			T129		226		40685			220			40905
130			T130		311		40993			223			41216
131			T131		97		41087			226			41313
132			T132		73		41159			227			41386
133			T133		382		41537			231			41768
134			T134		540		42076			232			42308
135			T135		247		42321			234			42555
136			T136		270		42590			235			42825
137			T137		275		42864			236			43100
138			T138		507		43370			237			43607
139			T139		505		43874			238			44112
140			T140		199		44069			242			44311
141			T141		429		44497			243			44740
142			T142		160		44653			247			44900
143			T143		363		45013			250			45263
144			T144		442		45454			251			45705
145			T145		361		45812			254			46066
146			T146		485		46296			255			46551
147			T147		328		46622			257			46879
148			T148		479		47099			259			47358
149			T149		396		47494			260			47754
150			T150		482		47975			261			48236
151			T151		454		48424			266			48690
152			T152		311		48734			267			49001
153			T153		244		48976			269			49245
154			T154		166		49137			274			49411
155			T155		229		49365			275			49640
156			T156		538		49902			276			50178
157			T157		245		50146			277			50423
158			T158		542		50687			278			50965
159			T159		64		50750			279			51029
160			T160		111		50860			280			51140
161			T161		543		51402			281			51683
162			T162		234		51635			282			51917
163			T163		145		51777			285			52062
164			T164		137		51912			287			52199
165			T165		366		52277			288			52565
166			T166		423		52699			289			52988
167			T167		74		52772			290			53062
168			T168		464		53235			291			53526
169			T169		293		53527			292			53819
170			T170		228		53753			294			54047
171			T171		509		54255			301			54556
172			T172		398		54652			302			54954
173			T173		346		54997			303			55300
174			T174		448		55444			304			55748
175			T175		133		55576			305			55881
176			T176		215		55790			306			56096
177			T177		516		56305			307			56612
178			T178		458		56762			308			57070
179			T179		470		57228			312			57540
180			T180		431		57658			313			57971
181			T181		92		57749			314			58063
182			T182		280		58027			316			58343
183			T183		112		58138			317			58455
184			T184		245		58380			320			58700
185			T185		174		58552			322			58874
186			T186		131		58682			323			59005
187			T187		51		58732			324			59056
188			T188		505		59234			327			59561
189			T189		507		59739			329			60068
